"Category","Overheads"
"Salary Expense",23.95
"Interest Expense ",1.18
"Marketing Expense",15.82
"Rental Expense",16.51
"Overflow Expense - Retail",0.33
"Penalty Expense",3.28
"Depreciation Expense",16.1
"Maintenance Expense",5.22
"Shipping Expense",0.29
"Human Resource Expense",17.31
