"Category","Overheads"
"Salary Expense",23.47
"Interest Expense ",1
"Marketing Expense",16.3
"Rental Expense",18.33
"Overflow Expense - Retail",0.25
"Penalty Expense",2.75
"Depreciation Expense",17.24
"Maintenance Expense",5.53
"Shipping Expense",0.24
"Human Resource Expense",14.9
